objectID,name,price,image,category,rating,description,inStock,featured
39,Vivarium Kit,7430,/products/supplies/vivarium-kit.jpg,supplies,3.2,Complete vivarium kit for creating the perfect frog habitat.,True,False
40,Clown Frog,12559,/products/frogs/clown-frog.jpg,frogs,3.1,A beautiful Clown Frog for your collection. Includes care guide.,True,False
41,Frog Powder,20021,/products/food/frog-powder.jpg,food,3.1,Premium quality frog powder for optimal frog nutrition.,True,False
42,Frog Flakes,22707,/products/food/frog-flakes.jpg,food,4.9,Premium quality frog flakes for optimal frog nutrition.,True,False
43,Live Dubia Roaches,15650,/products/insects/live-dubia-roaches.jpg,insects,3.2,Fresh live dubia roaches - perfect food source for your frogs.,True,False
44,Frog Powder,29776,/products/food/frog-powder.jpg,food,4.4,Premium quality frog powder for optimal frog nutrition.,True,False
45,Terrarium Kit,2420,/products/supplies/terrarium-kit.jpg,supplies,4.2,Complete terrarium kit for creating the perfect frog habitat.,True,False
46,Live Grasshoppers,15332,/products/insects/live-grasshoppers.jpg,insects,3.7,Fresh live grasshoppers - perfect food source for your frogs.,True,False
47,Electrolyte Supplement,28191,/products/supplements/electrolyte-supplement.jpg,supplements,4.1,Essential electrolyte supplement for maintaining frog health.,True,True
48,Live Mealworms,931,/products/insects/live-mealworms.jpg,insects,4.3,Fresh live mealworms - perfect food source for your frogs.,False,True
49,Green Tree Frog,22579,/products/frogs/green-tree-frog.jpg,frogs,4.5,A beautiful Green Tree Frog for your collection. Includes care guide.,True,False
50,Pacman Frog,14797,/products/frogs/pacman-frog.jpg,frogs,4.8,A beautiful Pacman Frog for your collection. Includes care guide.,True,True
